task,vri_id,mi_number,mi_modification,mi_manufactureYear,mi_Owner_name,org_title,mitypeTitle,mitypeType,mitypeNumber,vriType,result_doc_type,result_docnum,mitypeURL
"Манометры, поверенные в ЦАГИ",170334815,177279,МТП-1...,,ФАУ &...,ФЕДЕР...,Маном...,МТП-1...,3255-72,Периодическая,Извещение о непригодности,И-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/340926
"Манометры, поверенные в ЦАГИ",170334816,1с,МДМ-40,,ФАУ &...,ФЕДЕР...,Маном...,МДМ,44953-10,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/355874
"Манометры, поверенные в ЦАГИ",170334817,2с,МДМ-4,,ФАУ &...,ФЕДЕР...,Маном...,МДМ,44953-10,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/355874
"Манометры, поверенные в ЦАГИ",170334818,3с,МДМ-250,,ФАУ &...,ФЕДЕР...,Маном...,МДМ,44953-10,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/355874
"Манометры, поверенные в ЦАГИ",170334819,4с,МДМ-25,,ФАУ &...,ФЕДЕР...,Маном...,МДМ,44953-10,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/355874
"Манометры, поверенные в ЦАГИ",170334820,Л 1,МП3-УФ,,ФАУ &...,ФЕДЕР...,Маном...,МП3-У...,10135-88,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/304273
"Манометры, поверенные в ЦАГИ",170334821,71191,МО-1,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-07,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323271
"Манометры, поверенные в ЦАГИ",170334822,31631,11202...,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-00,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323269
"Манометры, поверенные в ЦАГИ",170334823,31672,11202...,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-00,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323269
"Манометры, поверенные в ЦАГИ",170334824,41136,МО-16,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-07,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323271
"Манометры, поверенные в ЦАГИ",170334825,15240,МО-16,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-07,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323271
"Манометры, поверенные в ЦАГИ",170334826,16861,МО-16,,ФАУ &...,ФЕДЕР...,Маном...,МО и ВО,20680-07,Периодическая,Извещение о непригодности,C-АОЛ...,https://fgis.gost.ru/fundmetrology/registry/4/items/323271
